Date,Close/Last,Volume,Open,High,Low
12/17/2018,$45.8978,15920988,$45.5126,$46.4113,$45.0119
12/14/2018,$45.5768,16093263,$45.4484,$46.5397,$44.9028
12/13/2018,$46.2187,25876700,$48.0803,$48.1445,$45.7052
12/12/2018,$43.0733,13205238,$43.9078,$45.0954,$43.0091
12/11/2018,$43.3943,15557450,$45.1917,$45.7694,$42.7523
12/10/2018,$44.4855,14100300,$44.7423,$45.7052,$43.3301
12/07/2018,$44.9991,14296513,$46.8607,$47.3742,$44.8707
12/06/2018,$47.1816,14032788,$46.2187,$47.4384,$45.8978
12/04/2018,$46.7323,16449225,$49.7493,$50.1345,$46.7323
12/03/2018,$50.1345,16318200,$48.4013,$51.0332,$48.3371
11/30/2018,$48.1445,23371300,$49.1716,$49.30,$47.5026
11/29/2018,$50.969,15379488,$49.1074,$51.3542,$48.0803
11/28/2018,$49.6852,15525838,$47.4384,$49.8777,$47.31
11/27/2018,$47.7594,13799125,$48.0803,$48.979,$47.31
11/26/2018,$48.6581,19338888,$48.8507,$49.6852,$46.6039
11/23/2018,$48.5939,5433891,$49.9419,$50.4555,$48.4655
11/21/2018,$50.1345,10549663,$50.0061,$50.9048,$49.621
11/20/2018,$49.1074,17902350,$49.2358,$50.4234,$48.3371
11/19/2018,$50.3271,18414375,$51.29,$52.8948,$49.974
11/16/2018,$51.4826,21965663,$51.8677,$52.638,$49.621
11/15/2018,$52.4454,16041263,$52.8948,$55.1852,$51.74
11/14/2018,$53.4083,20881025,$56.2328,$56.8105,$52.5738
11/13/2018,$55.2699,25718350,$51.4826,$58.0944,$51.1616
11/12/2018,$51.29,30626600,$54.0503,$54.2428,$49.5568
11/09/2018,$55.0773,34159425,$56.4254,$57.5167,$52.3171
11/08/2018,$58.4154,17123538,$58.6721,$59.9624,$58.0944
11/07/2018,$59.0573,15401563,$60.6621,$60.7263,$58.6721
11/06/2018,$60.4695,13603600,$60.0844,$61.2077,$60.0844
11/05/2018,$59.5708,15525438,$60.277,$61.1808,$59.5066
11/02/2018,$59.635,32333788,$61.7534,$62.0102,$58.1907
11/01/2018,$61.4966,29277588,$64.2569,$65.6691,$61.2398
10/31/2018,$64.8346,24871400,$65.3482,$66.6962,$62.9089
10/30/2018,$65.3482,43104163,$67.7875,$73.1797,$63.3582
10/29/2018,$71.6391,14939488,$73.3658,$75.298,$70.1626
10/26/2018,$72.5378,14695525,$74.3993,$74.7575,$71.7033
10/25/2018,$75.7474,11003678,$78.3151,$78.8286,$75.2018
10/24/2018,$78.1225,10298635,$81.5889,$82.2309,$77.9299
10/23/2018,$81.4605,10230440,$77.9941,$81.7815,$77.5448
10/22/2018,$79.4706,6270464,$80.8186,$81.0754,$79.1496
10/19/2018,$80.626,10838514,$78.8286,$81.7173,$78.7003
10/18/2018,$79.4706,10175329,$77.9299,$79.7915,$77.4164
10/17/2018,$78.2509,10424426,$78.6361,$80.626,$77.7695
10/16/2018,$77.6732,10807073,$78.5077,$78.8928,$77.0312
10/15/2018,$77.9941,7804420,$78.6361,$80.2409,$77.9299
10/12/2018,$79.0854,15219100,$80.4335,$82.3592,$78.3151
10/11/2018,$81.6531,14504100,$84.2208,$85.28,$81.268
10/10/2018,$85.2479,11462509,$85.954,$87.6872,$84.927
10/09/2018,$86.9811,13797025,$88.0082,$88.4576,$86.0824
10/08/2018,$87.3663,21523138,$86.7885,$87.5589,$85.1195
10/05/2018,$84.606,18885788,$82.6802,$85.3763,$82.5518
10/04/2018,$81.268,9349664,$79.6632,$81.3964,$79.2138
10/03/2018,$80.1125,10364759,$79.2138,$81.0754,$78.8286
10/02/2018,$79.0854,18456538,$79.0854,$80.1125,$75.5548
10/01/2018,$77.609,38487463,$83.5789,$83.8999,$76.6461
09/28/2018,$72.4736,9567095,$73.4365,$73.8858,$72.2168
09/27/2018,$74.0142,10267375,$72.9871,$75.4264,$72.9229
09/26/2018,$73.1155,11246478,$72.2168,$74.1747,$71.96
09/25/2018,$72.3452,16631900,$75.298,$75.4906,$72.0242
09/24/2018,$75.3622,18555088,$77.6732,$77.6732,$74.4635
09/21/2018,$78.1225,11877730,$79.599,$80.626,$78.0583
09/20/2018,$79.9841,11028759,$80.8186,$81.4605,$79.3422
09/19/2018,$82.5518,7738651,$81.0112,$83.3863,$80.626
09/18/2018,$81.268,5360308,$81.3322,$81.8457,$80.626
09/17/2018,$81.5247,6279549,$80.947,$82.7284,$80.8507
09/14/2018,$81.3964,8710835,$80.4335,$81.8457,$79.4706
09/13/2018,$81.5889,6814644,$81.3322,$81.8457,$79.7915
09/12/2018,$80.947,5017466,$78.957,$81.0754,$78.4756
09/11/2018,$79.1496,5017345,$79.8493,$80.0483,$78.5077
09/10/2018,$80.3051,5416755,$79.3422,$81.4926,$79.278
09/07/2018,$79.599,5733021,$79.5348,$79.8557,$78.7645
09/06/2018,$80.3051,5073449,$80.2409,$82.1667,$80.2409
09/05/2018,$80.626,6882546,$79.9199,$80.7544,$78.5398
09/04/2018,$81.3322,5592539,$82.6802,$82.6802,$81.0754
08/31/2018,$83.0654,6296313,$81.7173,$83.1296,$81.5247
08/30/2018,$81.9741,5582714,$82.616,$83.2579,$81.8457
08/29/2018,$83.2579,5972558,$81.9741,$83.3221,$81.3322
08/28/2018,$81.9099,7381321,$81.9741,$82.7444,$81.6531
08/27/2018,$81.9741,5579085,$80.1125,$82.0383,$79.9199
08/24/2018,$80.2409,4831663,$80.3693,$80.626,$80.0483
08/23/2018,$80.4977,4755826,$79.6632,$80.626,$79.5341
08/22/2018,$80.0483,5428159,$80.947,$81.0112,$79.7273
08/21/2018,$81.0754,7232624,$79.2138,$81.4605,$79.1496
08/20/2018,$78.957,4718439,$78.7645,$79.5348,$77.9299
08/17/2018,$78.957,5867140,$78.7003,$79.2138,$78.3793
08/16/2018,$78.957,6491176,$78.7003,$79.3422,$78.3472
08/15/2018,$78.4435,8085970,$78.7645,$79.3422,$76.6461
08/14/2018,$79.278,6195998,$80.1125,$80.8828,$79.0854
08/13/2018,$79.9199,8379505,$81.6531,$81.7173,$79.5348
